% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Oct 24 2023, 11:09"
% Table,表格 2 - 
% Parameter,Height
0,0
0.2,2.5185516605909717
0.4,3.0366006243350463
0.6000000000000001,2.980152772255735
0.8,2.963325811672237
1,2.958056825304342
1.2000000000000002,2.955981099159655
1.4000000000000001,2.9560672221639406
1.6,2.9584461048586688
1.8,2.966638599063999
2,2.983733261212804
2.2,3.010191708103615
2.4000000000000004,3.0413200400636953
2.6,3.0629810812821585
2.8000000000000003,3.078499884113038
3,3.1017756324567607
3.2,3.1326427561549752
3.4000000000000004,3.1520882994634163
3.5,3.124134388077517
3.52,3.1375561971282773
3.54,3.1522263941648663
3.56,3.160725341618769
3.58,3.1590634722036706
3.6,3.148474972495712
3.62,3.134892290026852
3.64,3.125457638895654
3.66,3.125583294506224
3.68,3.13587910226867
3.7,3.1515355637555365
3.72,3.164551377503039
3.74,3.1685841563353763
3.76,3.1617156920147416
3.7800000000000002,3.1477683948258193
3.8,3.1342258629127677
3.82,3.128142047186514
3.84,3.133179638414342
3.86,3.147149836531525
3.88,3.1633669932146424
3.9,3.1733099453582847
3.92,3.1723244438149543
3.94,3.161059454148725
3.96,3.145808079701973
3.98,3.134266886852197
4,3.1326511616330976
4.02,3.1423210897713827
4.04,3.158647940406389
4.0600000000000005,3.1732918293461667
4.08,3.17876312490548
4.1,3.1724819111198843
4.12,3.1577731477977204
4.14,3.1424649611667475
4.16,3.134277530989937
4.18,3.13773419506285
4.2,3.151328823277763
4.22,3.16847521504726
4.24,3.1802252962341933
4.26,3.1807248376190613
4.28,3.169991149082006
4.3,3.1537607131236114
4.32,3.1403379602476926
4.34,3.1365736739820997
4.36,3.1448584956881818
4.38,3.161172444336248
4.4,3.1771440791116343
4.42,3.1845323072020797
4.44,3.179689477646033
4.46,3.16522318213647
4.48,3.1486326425555196
4.5,3.1383129316095126
4.52,3.139639992605654
4.54,3.1521983970472833
4.5600000000000005,3.169834741328893
4.58,3.183301309396376
4.6,3.185831557139199
4.62,3.1763621717509873
4.640000000000001,3.1599536207166534
4.66,3.1449433233427557
4.68,3.138856048098286
4.7,3.14518799726685
4.72,3.1608959223952846
4.74,3.177943130517139
4.76,3.1873418700440177
4.78,3.1845302306872796
4.8,3.1709465538995687
4.82,3.1536642439718148
4.84,3.141362316354623
4.86,3.140295190671462
4.88,3.151249921174689
4.9,3.168850560531756
4.92,3.1839517850732495
4.9399999999999995,3.1887337509573106
4.96,3.1810832581084885
4.98,3.1650113596506926
5,3.1488408794803227
5.02,3.1404874802353233
5.04,3.1445312076962315
5.0600000000000005,3.159086779462331
5.08,3.1767572751633253
5.1,3.1882324986176744
5.12,3.187758404704325
5.140000000000001,3.1756496365549434
5.16,3.1580537940280777
5.18,3.1440417917282764
5.2,3.1404971043125585
5.22,3.1495061780518356
5.24,3.1665622412162233
5.26,3.182940798475026
5.28,3.1901086149126208
5.3,3.1846325017400066
5.32,3.1694779823156436
5.34,3.152414381603155
5.36,3.1419710078546625
5.38,3.143512393160081
5.4,3.1565852893800344
5.42,3.174445990950391
5.4399999999999995,3.18779868739655
5.46,3.189806795041587
5.48,3.179552701522138
5.5,3.162238840597792
5.52,3.146698411459484
5.54,3.1407098467855668
5.5600000000000005,3.1474405536435395
5.58,3.1636088889503595
5.6,3.1809332661796397
5.62,3.190370620172863
5.640000000000001,3.1872991199376575
5.66,3.173447655317454
5.68,3.1560093710078974
5.7,3.1435977100396264
5.720000000000001,3.1425746132683035
5.74,3.1537450385022483
5.76,3.17147693275428
5.78,3.1864684482180214
5.800000000000001,3.19097746369816
5.82,3.182823033672495
5.84,3.166174987694819
5.859999999999999,3.149573401934713
5.88,3.1411917350913776
5.9,3.1454759664102094
5.92,3.1602798682851616
5.9399999999999995,3.178239156859828
5.96,3.18982548354902
5.98,3.189286188171017
6,3.1770715657726836
6.02,3.159562441732042
6.04,3.1455342306192446
6.0600000000000005,3.141936776482515
6.08,3.1509962294526654
6.1,3.1680975209400737
6.12,3.184420854976137
6.140000000000001,3.19139533281661
6.16,3.1855793085268997
6.18,3.1699914995399525
6.2,3.1525937063729197
6.220000000000001,3.1420699833363823
6.24,3.1437672658491653
6.26,3.1569788110538846
6.28,3.1750839840994676
6.300000000000001,3.188588137346835
6.32,3.1906228036695836
6.34,3.1803765497732965
6.359999999999999,3.1632036903963328
6.38,3.1477594637309876
6.4,3.1417109241797228
6.42,3.1484266427967222
6.4399999999999995,3.1645995986734246
6.46,3.18182158059828
6.48,3.1911097684078538
6.5,3.1878052121681635
6.52,3.173649613978819
6.54,3.1558662746617583
6.5600000000000005,3.1433580412481588
6.58,3.1424516538124703
6.6,3.1537535517887907
6.62,3.171688796975067
6.640000000000001,3.186793623274683
6.66,3.191362089255668
6.68,3.1832871527804243
6.7,3.166848382732207
6.720000000000001,3.150383257932632
6.74,3.1419699185309193
6.76,3.1462021348741303
6.78,3.1610065841130885
6.800000000000001,3.1788570757586916
6.82,3.1902639082398925
6.84,3.18956697264341
6.859999999999999,3.1770961478920943
6.88,3.1592940809811574
6.9,3.145133940054764
6.92,3.1416231787078988
6.9399999999999995,3.150788846006314
6.96,3.1680150323876437
6.98,3.184506302453479
7,3.1915325166036355
